# Forces      
# CofR        : (0.000000e+00 0.000000e+00 2.000000e-02)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
680           	((-5.246864e+27 -3.771998e+27 -2.201076e+27) (-1.153290e+11 -6.594647e+10 -2.179416e+11) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.518421e+28 -8.996240e+28 2.490106e+27) (2.337946e+12 -2.834396e+12 -1.897829e+11) (0.000000e+00 0.000000e+00 0.000000e+00))
690           	((-2.205213e+28 -1.424704e+28 -7.288650e+27) (-2.055750e+11 -1.251112e+11 -3.999369e+11) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.436618e+29 -3.658360e+29 -4.602487e+27) (4.769708e+12 -5.653687e+12 -3.258580e+11) (0.000000e+00 0.000000e+00 0.000000e+00))
700           	((-5.056392e+28 -3.427478e+28 -1.917625e+28) (-3.225535e+11 -2.204100e+11 -6.867426e+11) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.791057e+29 -8.353407e+29 -2.222885e+28) (7.426562e+12 -9.135795e+12 -4.231968e+11) (0.000000e+00 0.000000e+00 0.000000e+00))
710           	((-1.047583e+29 -1.100692e+29 -4.798018e+28) (-4.919400e+11 -4.112248e+11 -1.098262e+12) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.876038e+30 -1.762355e+30 -1.164766e+29) (1.257236e+13 -1.187522e+13 -4.353959e+11) (0.000000e+00 0.000000e+00 0.000000e+00))
720           	((-3.575009e+29 -2.622017e+29 -1.573143e+29) (-8.557418e+11 -6.368924e+11 -2.206667e+12) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.713227e+30 -5.961757e+30 -2.789536e+29) (2.003018e+13 -2.025492e+13 -4.883054e+11) (0.000000e+00 0.000000e+00 0.000000e+00))
730           	((-6.944713e+29 -3.619026e+29 -2.135672e+29) (-1.242770e+12 -8.163869e+11 -2.821643e+12) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.222035e+30 -1.144607e+31 -5.405009e+29) (2.151853e+13 -2.526312e+13 -5.438905e+11) (0.000000e+00 0.000000e+00 0.000000e+00))
740           	((-3.115205e+30 -2.984504e+30 -8.543795e+29) (-2.797035e+12 -1.887980e+12 -3.767701e+12) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.815089e+31 -4.909486e+31 4.000380e+30) (4.613429e+13 -5.063769e+13 -3.380828e+12) (0.000000e+00 0.000000e+00 0.000000e+00))
750           	((-1.260752e+31 -1.106075e+31 -2.767344e+30) (-5.327645e+12 -4.036158e+12 -6.114884e+12) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.937326e+32 -2.089674e+32 -9.024156e+30) (1.473404e+14 -1.244167e+14 -1.267107e+13) (0.000000e+00 0.000000e+00 0.000000e+00))
760           	((-3.704574e+31 -3.153092e+31 -1.074470e+31) (-7.936640e+12 -5.522001e+12 -7.189524e+12) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.635047e+32 -6.400743e+32 -4.233876e+31) (2.650843e+14 -2.598925e+14 -2.337133e+13) (0.000000e+00 0.000000e+00 0.000000e+00))
770           	((-1.001398e+32 -7.571644e+31 -5.770015e+31) (-1.327661e+13 -9.997474e+12 -3.334498e+13) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.306673e+33 -1.723027e+33 -5.294813e+31) (3.878173e+14 -4.543502e+14 -2.420040e+13) (0.000000e+00 0.000000e+00 0.000000e+00))
780           	((-2.568385e+32 -1.797556e+32 -1.194140e+32) (-2.283321e+13 -1.708194e+13 -6.434201e+13) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.053431e+33 -4.299877e+33 7.270690e+31) (4.400010e+14 -6.186378e+14 -1.904465e+13) (0.000000e+00 0.000000e+00 0.000000e+00))
790           	((-6.688996e+32 -4.393942e+32 -2.979390e+32) (-3.894223e+13 -2.876709e+13 -1.020266e+14) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.720791e+33 -1.124875e+34 -6.181901e+32) (6.936506e+14 -9.148872e+14 -5.233045e+13) (0.000000e+00 0.000000e+00 0.000000e+00))
800           	((-2.296943e+33 -1.401189e+33 -8.704627e+32) (-6.992497e+13 -4.596121e+13 -1.713637e+14) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.433706e+34 -3.845743e+34 -2.151605e+32) (1.161572e+15 -1.678670e+15 -4.135769e+13) (0.000000e+00 0.000000e+00 0.000000e+00))
