# Forces      
# CofR        : (0.000000e+00 0.000000e+00 2.000000e-02)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
190           	((-6.764449e+08 3.073806e+10 -2.283302e+10) (7.617264e+01 -1.064008e+02 -1.524992e+03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.082597e+11 -7.248103e+09 7.455037e+12) (-8.890271e+02 -1.797373e+03 -1.027353e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
200           	((5.131520e+09 1.150218e+11 -6.413945e+10) (2.062579e+02 6.531745e+01 -2.144929e+03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.107322e+12 2.137009e+11 7.742263e+12) (-2.852403e+03 -1.209707e+03 -1.013067e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
210           	((5.970505e+10 7.584017e+11 -2.221929e+11) (2.489719e+02 4.967014e+02 -2.567234e+03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.553826e+12 1.419749e+12 1.171537e+13) (-1.253608e+04 2.582189e+03 -9.748088e+04) (0.000000e+00 0.000000e+00 0.000000e+00))
220           	((1.298086e+11 4.768148e+12 -1.134930e+12) (4.333756e+02 1.588112e+03 -4.411080e+03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.567129e+13 7.093591e+12 3.577874e+13) (-5.007049e+04 1.696295e+04 -9.231208e+04) (0.000000e+00 0.000000e+00 0.000000e+00))
230           	((1.046602e+12 3.146672e+13 -6.507624e+12) (8.210133e+02 5.603959e+03 -9.599171e+03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.607870e+14 5.193182e+13 1.781598e+14) (-1.574152e+05 4.587122e+04 -8.535656e+04) (0.000000e+00 0.000000e+00 0.000000e+00))
240           	((3.796134e+12 2.012534e+14 -4.217870e+13) (2.306855e+03 1.655952e+04 -2.126272e+04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.578895e+15 3.909817e+14 1.175201e+15) (-4.755962e+05 1.320465e+05 -5.853780e+04) (0.000000e+00 0.000000e+00 0.000000e+00))
250           	((2.997623e+13 1.292135e+15 -2.874539e+14) (7.022878e+03 4.110117e+04 -4.601755e+04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.668855e+16 2.877073e+15 6.917258e+15) (-1.146733e+06 3.395676e+05 -6.745003e+03) (0.000000e+00 0.000000e+00 0.000000e+00))
260           	((3.981158e+14 5.820007e+15 -1.186631e+15) (1.626405e+04 9.588448e+04 -1.210044e+05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.438122e+16 1.092592e+16 2.037993e+16) (-2.605692e+06 5.738893e+05 6.282153e+04) (0.000000e+00 0.000000e+00 0.000000e+00))
270           	((2.521944e+15 1.770440e+16 -3.168519e+15) (4.617134e+04 2.392281e+05 -2.476018e+05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.660110e+17 3.663717e+16 1.640272e+14) (-5.133828e+06 7.039197e+05 -3.586997e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
280           	((-2.860081e+15 1.857886e+16 -1.970129e+15) (1.898289e+04 2.458901e+05 -3.176637e+05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.765448e+17 8.450466e+16 1.720710e+17) (-5.825682e+06 3.027106e+05 4.874903e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
290           	((3.268633e+16 1.201116e+17 -2.923347e+16) (3.724039e+04 3.638554e+05 -6.893748e+05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.539421e+18 4.456618e+17 -1.082042e+17) (-9.867379e+06 -2.849852e+05 1.540878e+06) (0.000000e+00 0.000000e+00 0.000000e+00))
300           	((2.541963e+16 1.088469e+17 -2.636556e+16) (1.486437e+05 6.156273e+05 -1.207114e+06) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.805802e+18 2.721793e+16 -6.155548e+17) (-1.743539e+07 1.220104e+06 -1.631357e+06) (0.000000e+00 0.000000e+00 0.000000e+00))
310           	((1.026870e+17 1.529757e+17 -5.217646e+16) (1.753442e+05 5.531825e+05 -1.290758e+06) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.668734e+18 1.051437e+18 -5.420133e+17) (-1.426343e+07 2.453900e+06 -1.139869e+06) (0.000000e+00 0.000000e+00 0.000000e+00))
320           	((2.368004e+17 3.417548e+17 -9.059797e+16) (5.648274e+05 5.742113e+05 -1.378965e+06) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.827577e+18 2.629344e+18 -3.131374e+18) (-1.421751e+07 8.761519e+06 -7.353910e+06) (0.000000e+00 0.000000e+00 0.000000e+00))
330           	((3.135739e+17 3.745954e+17 -9.137341e+16) (9.326715e+05 1.200193e+06 -1.165159e+06) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.275576e+18 4.403179e+18 -6.739714e+17) (-2.009477e+07 1.603689e+07 -8.390969e+06) (0.000000e+00 0.000000e+00 0.000000e+00))
340           	((3.472645e+17 4.409091e+17 -5.673886e+16) (1.115884e+06 1.493812e+06 -1.113556e+06) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.210191e+18 5.133999e+18 -2.015193e+18) (-2.314285e+07 1.989680e+07 -5.343453e+06) (0.000000e+00 0.000000e+00 0.000000e+00))
350           	((4.284017e+17 4.123999e+17 -6.279339e+16) (1.350647e+06 1.323303e+06 -6.482581e+05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.929874e+18 6.280705e+18 -1.499316e+18) (-2.290392e+07 2.388444e+07 -7.603193e+06) (0.000000e+00 0.000000e+00 0.000000e+00))
360           	((1.864478e+17 4.285275e+17 -7.240018e+16) (9.346510e+05 1.497200e+06 -1.014443e+06) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.252256e+18 2.365167e+18 -2.672344e+18) (-3.136982e+07 1.730842e+07 -7.214243e+06) (0.000000e+00 0.000000e+00 0.000000e+00))
370           	((1.706380e+17 3.725412e+17 -3.080646e+16) (7.267145e+05 1.516755e+06 -8.747813e+05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.352034e+18 1.698327e+18 -1.162997e+18) (-3.010920e+07 8.055360e+06 -8.053009e+06) (0.000000e+00 0.000000e+00 0.000000e+00))
380           	((1.200744e+17 2.541817e+17 -1.335728e+16) (4.615260e+05 1.440985e+06 -6.593444e+05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.653213e+18 1.184917e+18 -3.309856e+17) (-2.534182e+07 -3.809335e+06 -5.267103e+06) (0.000000e+00 0.000000e+00 0.000000e+00))
390           	((2.289878e+17 2.663174e+17 -4.671934e+16) (5.017934e+05 1.295342e+06 -6.877133e+05) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.855931e+18 3.340209e+18 2.534837e+17) (-1.427113e+07 1.361872e+06 -3.027971e+06) (0.000000e+00 0.000000e+00 0.000000e+00))
400           	((3.071282e+17 3.242716e+17 -1.286010e+17) (4.830242e+05 1.269785e+06 -1.425807e+06) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.590420e+18 4.517839e+18 1.562201e+18) (-8.851509e+06 5.128025e+06 1.054374e+06) (0.000000e+00 0.000000e+00 0.000000e+00))
410           	((1.078236e+18 6.364929e+17 -2.574997e+17) (1.236568e+06 1.419278e+06 -2.338080e+06) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.016989e+19 1.612572e+19 1.414213e+18) (-9.391798e+06 2.529017e+07 2.894627e+06) (0.000000e+00 0.000000e+00 0.000000e+00))
420           	((2.005648e+18 3.253775e+17 -7.944117e+17) (2.401081e+06 1.038828e+06 -4.185175e+06) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.899006e+18 3.119496e+19 2.756206e+18) (4.705924e+06 4.859509e+07 1.827286e+06) (0.000000e+00 0.000000e+00 0.000000e+00))
430           	((2.439991e+18 1.385866e+17 -7.633090e+17) (2.380656e+06 3.959950e+05 -7.043513e+06) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.441663e+17 4.126115e+19 5.782024e+18) (2.843564e+07 5.298070e+07 6.603776e+06) (0.000000e+00 0.000000e+00 0.000000e+00))
440           	((6.418657e+18 -2.631474e+18 -2.553518e+18) (3.839496e+06 -1.044134e+06 -6.969675e+06) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.888435e+19 1.035271e+20 1.823532e+19) (7.912667e+07 9.142230e+07 2.973470e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
450           	((7.584714e+18 -8.232805e+18 -6.042687e+17) (6.045899e+06 -3.388026e+06 -1.175252e+07) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.406350e+20 1.307007e+20 4.207195e+19) (1.720369e+08 1.129957e+08 4.206415e+06) (0.000000e+00 0.000000e+00 0.000000e+00))
