# Forces      
# CofR        : (0.000000e+00 0.000000e+00 2.000000e-02)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
840           	((3.910374e+51 2.164193e+51 -8.188410e+50) (9.205421e+22 5.065278e+22 -9.111099e+22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.686315e+52 6.184737e+52 -1.558207e+51) (-2.120320e+24 2.654032e+24 -1.748815e+23) (0.000000e+00 0.000000e+00 0.000000e+00))
850           	((2.920808e+52 1.655878e+52 -6.259327e+51) (2.838305e+23 1.541872e+23 -2.786746e+23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.853354e+53 4.606920e+53 -1.608063e+52) (-5.309499e+24 7.207726e+24 -2.795238e+23) (0.000000e+00 0.000000e+00 0.000000e+00))
860           	((2.083107e+53 1.216577e+53 -4.708015e+52) (7.483483e+23 3.782895e+23 -7.051309e+23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.134834e+54 3.377930e+54 -1.167691e+53) (-1.513691e+25 2.049571e+25 -8.602188e+23) (0.000000e+00 0.000000e+00 0.000000e+00))
870           	((1.628907e+54 8.865950e+53 -3.083960e+53) (2.081287e+24 1.054273e+24 -1.782865e+24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.529173e+55 2.604209e+55 -3.812683e+53) (-3.996978e+25 5.739010e+25 -2.736529e+24) (0.000000e+00 0.000000e+00 0.000000e+00))
880           	((1.119733e+55 5.974331e+54 -2.064712e+54) (5.264377e+24 2.504403e+24 -2.744216e+24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.102456e+56 1.844029e+56 -6.247809e+54) (-1.232449e+26 1.587857e+26 -1.125832e+25) (0.000000e+00 0.000000e+00 0.000000e+00))
890           	((9.083099e+55 4.317657e+55 -2.306955e+55) (1.527047e+25 6.758346e+24 -1.830151e+25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.313831e+56 1.464947e+57 6.258970e+54) (-2.715612e+26 4.488599e+26 -2.029269e+25) (0.000000e+00 0.000000e+00 0.000000e+00))
900           	((5.980288e+56 3.392246e+56 -1.555630e+56) (3.939438e+25 2.152842e+25 -4.563923e+25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.859696e+57 9.849287e+57 -8.592214e+55) (-8.110177e+26 1.109002e+27 -6.619494e+25) (0.000000e+00 0.000000e+00 0.000000e+00))
910           	((4.316309e+57 1.963248e+57 -1.133333e+57) (1.082247e+26 4.761802e+25 -1.316901e+26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.460458e+58 7.040679e+58 1.710016e+55) (-1.942715e+27 3.063515e+27 -9.766634e+25) (0.000000e+00 0.000000e+00 0.000000e+00))
920           	((2.620697e+58 1.497263e+58 -7.127708e+57) (2.595704e+26 1.264156e+26 -3.364566e+26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.601072e+59 4.314075e+59 -3.577150e+57) (-5.302182e+27 7.476006e+27 -3.874220e+26) (0.000000e+00 0.000000e+00 0.000000e+00))
930           	((1.837843e+59 1.072358e+59 -4.108372e+58) (6.742124e+26 3.595329e+26 -7.519321e+26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.874070e+60 2.976747e+60 -6.151774e+55) (-1.585887e+28 1.918642e+28 -1.119868e+27) (0.000000e+00 0.000000e+00 0.000000e+00))
940           	((1.270755e+60 5.672310e+59 -2.558412e+59) (1.773580e+27 7.413668e+26 -1.568818e+27) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.034679e+61 2.022972e+61 -7.419613e+59) (-3.898229e+28 5.083120e+28 -3.959929e+27) (0.000000e+00 0.000000e+00 0.000000e+00))
950           	((8.156174e+60 4.329650e+60 -1.886426e+60) (4.715527e+27 2.073179e+27 -5.017029e+27) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.579586e+61 1.313600e+62 -3.579366e+60) (-9.059261e+28 1.315348e+29 -7.441056e+27) (0.000000e+00 0.000000e+00 0.000000e+00))
960           	((5.957623e+61 3.267894e+61 -9.399959e+60) (1.201378e+28 6.102429e+27 -9.244760e+27) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.770321e+62 9.408399e+62 -2.576533e+61) (-2.630640e+29 3.376235e+29 -1.831829e+28) (0.000000e+00 0.000000e+00 0.000000e+00))
970           	((4.606748e+62 2.681716e+62 -1.118581e+62) (3.451908e+28 1.678360e+28 -3.020161e+28) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.663134e+63 7.405615e+63 -1.402883e+62) (-7.175674e+29 9.782825e+29 -5.859571e+28) (0.000000e+00 0.000000e+00 0.000000e+00))
980           	((3.275429e+63 1.773101e+63 -1.018356e+63) (8.753996e+28 5.105185e+28 -1.305474e+29) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.073407e+64 5.354395e+64 -1.408797e+63) (-1.834346e+30 2.492281e+30 -1.528932e+29) (0.000000e+00 0.000000e+00 0.000000e+00))
990           	((1.904315e+64 1.037835e+64 -4.220564e+63) (2.263938e+29 1.123110e+29 -2.916044e+29) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.776500e+65 3.039024e+65 -8.688779e+63) (-4.292671e+30 6.207907e+30 -2.575246e+29) (0.000000e+00 0.000000e+00 0.000000e+00))
1000          	((1.422807e+65 8.665546e+64 -2.615904e+64) (5.926423e+29 3.118889e+29 -4.497930e+29) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.492088e+66 2.266150e+66 -1.195829e+65) (-1.301202e+31 1.592590e+31 -1.384065e+30) (0.000000e+00 0.000000e+00 0.000000e+00))
1010          	((1.261540e+66 4.994334e+65 -3.238816e+65) (1.738338e+30 7.965280e+29 -2.154062e+30) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.762573e+66 2.003031e+67 -7.356879e+65) (-3.148217e+31 5.065366e+31 -3.427496e+30) (0.000000e+00 0.000000e+00 0.000000e+00))
1020          	((7.690607e+66 3.869608e+66 -1.318050e+66) (4.741177e+30 2.062377e+30 -3.862095e+30) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.547932e+67 1.211307e+68 -7.415952e+65) (-7.709286e+31 1.247985e+32 -5.112439e+30) (0.000000e+00 0.000000e+00 0.000000e+00))
1030          	((5.065936e+67 2.896814e+67 -1.137678e+67) (1.129543e+31 5.536386e+30 -1.022605e+31) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.123219e+68 8.189174e+68 -2.961048e+67) (-2.500817e+32 3.286730e+32 -1.951083e+31) (0.000000e+00 0.000000e+00 0.000000e+00))
1040          	((3.537208e+68 1.889324e+68 -4.596939e+67) (3.081674e+31 1.559293e+31 -2.030852e+31) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.198608e+69 5.548301e+69 3.425640e+67) (-5.741734e+32 8.211868e+32 -4.671172e+31) (0.000000e+00 0.000000e+00 0.000000e+00))
1050          	((2.815781e+69 1.673420e+69 -7.398088e+68) (8.420649e+31 4.586479e+31 -7.780992e+31) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.890803e+70 4.573709e+70 -1.052667e+69) (-1.748215e+33 2.319252e+33 -1.669943e+32) (0.000000e+00 0.000000e+00 0.000000e+00))
1060          	((1.665071e+70 8.325748e+69 -3.440013e+69) (2.090881e+32 1.025688e+32 -2.477698e+32) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.409679e+71 2.642050e+71 -1.377189e+69) (-3.821942e+33 5.962072e+33 -1.827604e+32) (0.000000e+00 0.000000e+00 0.000000e+00))
1070          	((1.243164e+71 6.539198e+70 -1.506551e+70) (5.475528e+32 2.513538e+32 -2.654280e+32) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.168408e+72 1.993643e+72 -1.551866e+71) (-1.203019e+34 1.624036e+34 -1.156566e+33) (0.000000e+00 0.000000e+00 0.000000e+00))
1080          	((9.566333e+71 5.085392e+71 -1.963664e+71) (1.497514e+33 7.214014e+32 -1.265346e+33) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.869960e+72 1.532795e+73 -7.109119e+71) (-3.344886e+34 4.702899e+34 -3.504160e+33) (0.000000e+00 0.000000e+00 0.000000e+00))
1090          	((6.232007e+72 3.823032e+72 -1.272731e+72) (3.992785e+33 2.109092e+33 -3.276504e+33) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.657320e+73 1.011755e+74 -3.790658e+72) (-8.829407e+34 1.165374e+35 -7.151304e+33) (0.000000e+00 0.000000e+00 0.000000e+00))
1100          	((5.680915e+73 2.704336e+73 -1.643130e+73) (1.171060e+34 5.827194e+33 -1.501951e+34) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.742170e+74 9.160502e+74 -1.608499e+73) (-2.277673e+35 3.330535e+35 -1.518759e+34) (0.000000e+00 0.000000e+00 0.000000e+00))
1110          	((4.250261e+74 2.176539e+74 -1.230538e+74) (3.355412e+34 1.651650e+34 -4.889100e+34) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.683896e+75 6.851317e+75 8.958621e+72) (-5.852753e+35 9.005611e+35 -2.846168e+34) (0.000000e+00 0.000000e+00 0.000000e+00))
1120          	((3.082317e+75 1.537216e+75 -6.809534e+74) (9.226730e+34 4.331842e+34 -1.069906e+35) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.647189e+76 4.963158e+76 3.301522e+74) (-1.646880e+36 2.463685e+36 -1.615532e+35) (0.000000e+00 0.000000e+00 0.000000e+00))
1130          	((2.213720e+76 9.873994e+75 -3.686810e+75) (2.481062e+35 9.227846e+34 -1.834581e+35) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.759234e+77 3.546650e+77 -1.770171e+75) (-4.492118e+36 6.807782e+36 -4.146486e+35) (0.000000e+00 0.000000e+00 0.000000e+00))
1140          	((1.468087e+77 6.962102e+76 -2.755868e+76) (6.123899e+35 2.413503e+35 -4.485158e+35) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.251397e+78 2.349539e+78 -1.019821e+77) (-1.238625e+37 1.779382e+37 -1.415030e+36) (0.000000e+00 0.000000e+00 0.000000e+00))
1150          	((9.097028e+77 4.483031e+77 -1.609952e+77) (1.504080e+36 6.176768e+35 -1.093236e+36) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.115227e+78 1.449320e+79 -8.418245e+77) (-3.147091e+37 4.306312e+37 -3.215259e+36) (0.000000e+00 0.000000e+00 0.000000e+00))
1160          	((6.428985e+78 3.228944e+78 -1.326372e+78) (4.170773e+36 1.761972e+36 -3.298105e+36) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.850169e+79 1.033901e+80 -6.933575e+78) (-8.389272e+37 1.155189e+38 -7.646447e+36) (0.000000e+00 0.000000e+00 0.000000e+00))
1170          	((4.148905e+79 2.288127e+79 -1.322213e+79) (1.026665e+37 4.446211e+36 -1.214381e+37) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.162633e+80 7.029746e+80 -1.783709e+79) (-2.341011e+38 3.172125e+38 -1.680342e+37) (0.000000e+00 0.000000e+00 0.000000e+00))
1180          	((2.885763e+80 1.191001e+80 -9.097629e+79) (2.651143e+37 1.173683e+37 -4.390618e+37) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.020660e+81 4.614307e+81 -8.450263e+79) (-4.734746e+38 7.795989e+38 -3.037865e+37) (0.000000e+00 0.000000e+00 0.000000e+00))
1190          	((1.775738e+81 1.037504e+81 -3.969279e+80) (6.835306e+37 3.489052e+37 -8.000449e+37) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.738171e+82 2.865746e+82 -1.296490e+81) (-1.248062e+39 1.813216e+39 -9.955978e+37) (0.000000e+00 0.000000e+00 0.000000e+00))
1200          	((1.349815e+82 7.170831e+81 -2.497876e+81) (1.895593e+38 8.758369e+37 -1.784241e+38) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.218110e+83 2.135223e+83 3.787956e+81) (-3.677022e+39 5.101036e+39 -2.215242e+38) (0.000000e+00 0.000000e+00 0.000000e+00))
1210          	((9.514648e+82 6.046547e+82 -1.737748e+82) (4.948017e+38 2.442731e+38 -3.315415e+38) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.064572e+84 1.501873e+84 -1.247081e+83) (-1.098268e+40 1.317480e+40 -1.092376e+39) (0.000000e+00 0.000000e+00 0.000000e+00))
1220          	((6.846396e+83 3.898904e+83 -1.621346e+83) (1.334387e+39 6.887739e+38 -1.242406e+39) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.847698e+84 1.094646e+85 -2.380988e+83) (-2.825103e+40 3.588045e+40 -2.064584e+39) (0.000000e+00 0.000000e+00 0.000000e+00))
1230          	((4.393706e+84 1.958082e+84 -7.072475e+83) (3.488757e+39 1.568891e+39 -3.007779e+39) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.319936e+85 6.859491e+85 -1.560563e+84) (-5.848562e+40 9.367574e+40 -3.337183e+39) (0.000000e+00 0.000000e+00 0.000000e+00))
1240          	((2.802585e+85 1.681853e+85 -5.064944e+84) (8.806030e+39 4.338933e+39 -6.897715e+39) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.911110e+86 4.385735e+86 -2.661981e+85) (-1.725657e+41 2.274767e+41 -1.619076e+40) (0.000000e+00 0.000000e+00 0.000000e+00))
1250          	((2.497773e+86 1.208087e+86 -4.378554e+85) (2.552172e+40 1.126888e+40 -1.999427e+40) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.160543e+87 3.896780e+87 -2.573304e+86) (-5.101631e+41 6.906848e+41 -5.926992e+40) (0.000000e+00 0.000000e+00 0.000000e+00))
1260          	((1.486293e+87 9.348545e+86 -2.703425e+86) (6.295789e+40 3.297858e+40 -4.848041e+40) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.565520e+88 2.275581e+88 -6.430337e+86) (-1.244033e+42 1.557424e+42 -1.065770e+41) (0.000000e+00 0.000000e+00 0.000000e+00))
1270          	((1.039837e+88 6.933294e+87 -3.223064e+87) (1.547996e+41 1.041818e+41 -2.031091e+41) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.210499e+89 1.694699e+89 -4.159589e+87) (-3.769274e+42 4.120904e+42 -1.971125e+41) (0.000000e+00 0.000000e+00 0.000000e+00))
1280          	((8.340869e+88 4.065255e+88 -2.017784e+88) (4.560236e+41 2.248730e+41 -5.821468e+41) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.120071e+89 1.315097e+90 -6.653581e+88) (-9.054791e+42 1.256003e+43 -6.865778e+41) (0.000000e+00 0.000000e+00 0.000000e+00))
1290          	((4.897877e+89 2.485707e+89 -8.077737e+88) (1.191547e+42 5.226675e+41 -1.031106e+42) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.347679e+90 7.717651e+90 -5.364389e+89) (-2.208209e+43 3.063930e+43 -1.851368e+42) (0.000000e+00 0.000000e+00 0.000000e+00))
1300          	((3.490003e+90 1.920242e+90 -9.881614e+89) (2.926665e+42 1.299645e+42 -3.156059e+42) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.527955e+91 5.765763e+91 -3.025479e+90) (-6.577654e+43 8.555355e+43 -7.171739e+42) (0.000000e+00 0.000000e+00 0.000000e+00))
1310          	((2.472955e+91 1.449927e+91 -6.256413e+90) (7.678399e+42 4.074494e+42 -9.557921e+42) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.474333e+92 3.917776e+92 -9.507823e+90) (-1.612069e+44 2.140517e+44 -1.104463e+43) (0.000000e+00 0.000000e+00 0.000000e+00))
1320          	((1.613974e+92 7.165925e+91 -4.238377e+91) (2.053194e+43 9.732061e+42 -2.871277e+43) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.233662e+93 2.569455e+93 -2.870544e+91) (-3.799892e+44 5.717708e+44 -3.288080e+42) (0.000000e+00 0.000000e+00 0.000000e+00))
1330          	((1.099392e+93 6.224365e+92 -2.936598e+92) (5.386036e+43 2.543851e+43 -6.925063e+43) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.031252e+94 1.762929e+94 3.544161e+92) (-9.690450e+44 1.428975e+45 -3.094244e+43) (0.000000e+00 0.000000e+00 0.000000e+00))
1340          	((6.595961e+93 4.766512e+93 -1.212915e+93) (1.267959e+44 7.854271e+43 -1.221983e+44) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.809319e+94 1.024880e+95 3.173815e+93) (-2.883007e+45 3.272312e+45 -6.997019e+43) (0.000000e+00 0.000000e+00 0.000000e+00))
1350          	((6.557004e+94 4.150968e+94 -1.477000e+94) (4.081538e+44 2.267849e+44 -3.194253e+44) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.029962e+95 1.058870e+96 5.835626e+94) (-8.637273e+45 1.070317e+46 -4.722254e+44) (0.000000e+00 0.000000e+00 0.000000e+00))
1360          	((4.579803e+95 3.018029e+95 -1.350436e+95) (1.048155e+45 6.232276e+44 -1.401173e+45) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.200338e+96 7.421989e+96 -3.864976e+94) (-2.520667e+46 2.928058e+46 -1.441605e+45) (0.000000e+00 0.000000e+00 0.000000e+00))
1370          	((3.761279e+96 1.924892e+96 -9.827591e+95) (3.121545e+45 1.471546e+45 -3.994779e+45) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.360289e+97 6.064830e+97 -6.373718e+95) (-6.208581e+46 8.636583e+46 -4.277182e+45) (0.000000e+00 0.000000e+00 0.000000e+00))
1380          	((2.391442e+97 1.286850e+97 -6.300021e+96) (8.013508e+45 3.510781e+45 -8.760393e+45) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.274814e+98 3.902237e+98 -8.257048e+96) (-1.702585e+47 2.296887e+47 -1.275172e+46) (0.000000e+00 0.000000e+00 0.000000e+00))
1390          	((1.557232e+98 8.365473e+97 -3.665925e+97) (1.976414e+46 9.494090e+45 -2.259015e+46) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.489284e+99 2.514945e+99 -1.709508e+98) (-4.329825e+47 5.721812e+47 -3.848261e+46) (0.000000e+00 0.000000e+00 0.000000e+00))
1400          	((1.232903e+99 5.264954e+98 -2.562618e+98) (5.797119e+46 2.281206e+46 -5.457938e+46) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.180254e+99 1.953195e+100 -2.520983e+98) (-9.951507e+47 1.566850e+48 -9.017332e+46) (0.000000e+00 0.000000e+00 0.000000e+00))
1410          	((8.355732e+99 5.339986e+99 -1.947687e+99) (1.494854e+47 7.309435e+46 -1.465665e+47) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.223819e+100 1.358774e+101 -1.623984e+99) (-3.169729e+48 4.085043e+48 -3.065599e+47) (0.000000e+00 0.000000e+00 0.000000e+00))
1420          	((7.334960e+100 3.492918e+100 -1.549997e+100) (4.310340e+47 1.967883e+47 -4.031043e+47) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.204946e+101 1.169663e+102 -3.593319e+100) (-8.735997e+48 1.194840e+49 -8.662205e+47) (0.000000e+00 0.000000e+00 0.000000e+00))
1430          	((4.580339e+101 2.112902e+101 -1.030486e+101) (1.120963e+48 4.308120e+47 -1.025543e+48) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.831629e+102 7.390059e+102 -3.691610e+101) (-2.016110e+49 3.133206e+49 -1.867560e+48) (0.000000e+00 0.000000e+00 0.000000e+00))
1440          	((3.429865e+102 1.661633e+102 -9.017258e+101) (2.819165e+48 1.273652e+48 -3.338259e+48) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.929153e+103 5.605306e+103 -1.183483e+102) (-5.495202e+49 8.378859e+49 -3.555276e+48) (0.000000e+00 0.000000e+00 0.000000e+00))
1450          	((2.180252e+103 1.141359e+103 -5.721351e+102) (7.388339e+48 3.238157e+48 -9.225836e+48) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.014071e+104 3.577667e+104 -1.493905e+103) (-1.432930e+50 2.200810e+50 -1.029179e+49) (0.000000e+00 0.000000e+00 0.000000e+00))
1460          	((1.536620e+104 8.490058e+103 -3.678428e+103) (1.969511e+49 9.689118e+48 -2.201300e+49) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.429513e+105 2.482628e+105 -3.535655e+103) (-3.607532e+50 5.559200e+50 -3.033419e+49) (0.000000e+00 0.000000e+00 0.000000e+00))
1470          	((1.172750e+105 5.331595e+104 -2.302685e+104) (5.751601e+49 2.673223e+49 -5.256216e+49) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.357117e+105 1.831148e+106 -6.637864e+104) (-1.000247e+51 1.457418e+51 -9.392650e+49) (0.000000e+00 0.000000e+00 0.000000e+00))
1480          	((8.691419e+105 4.313750e+105 -1.868507e+105) (1.603534e+50 6.714990e+49 -1.509873e+50) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.440581e+106 1.370925e+107 -3.772931e+105) (-2.627066e+51 4.083613e+51 -1.695572e+50) (0.000000e+00 0.000000e+00 0.000000e+00))
1490          	((5.712587e+106 3.141120e+106 -1.843659e+106) (3.812640e+50 1.952824e+50 -5.121583e+50) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.389685e+107 9.420426e+107 1.585035e+106) (-7.507889e+51 1.085037e+52 -4.121561e+50) (0.000000e+00 0.000000e+00 0.000000e+00))
1500          	((4.463826e+107 2.344815e+107 -8.855095e+106) (1.091369e+51 5.035980e+50 -1.224924e+51) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.990907e+108 7.032512e+108 5.026925e+106) (-2.067479e+52 2.932243e+52 -1.123957e+51) (0.000000e+00 0.000000e+00 0.000000e+00))
1510          	((2.674809e+108 1.551947e+108 -3.690422e+107) (2.720896e+51 1.290647e+51 -1.550187e+51) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.618049e+109 4.164856e+109 -6.795616e+107) (-4.987072e+52 6.999764e+52 -5.018741e+51) (0.000000e+00 0.000000e+00 0.000000e+00))
1520          	((2.290152e+109 1.218338e+109 -3.131402e+108) (7.353909e+51 3.686098e+51 -4.367176e+51) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.067011e+110 3.572732e+110 7.059805e+108) (-1.510390e+53 2.089901e+53 -1.082618e+52) (0.000000e+00 0.000000e+00 0.000000e+00))
1530          	((1.604389e+110 7.743245e+109 -3.243944e+109) (2.057849e+52 8.925834e+51 -1.517664e+52) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.354397e+111 2.555242e+111 -6.236415e+109) (-3.944812e+53 5.675303e+53 -2.682489e+52) (0.000000e+00 0.000000e+00 0.000000e+00))
1540          	((1.016928e+111 4.756810e+110 -2.954510e+110) (5.148268e+52 2.380643e+52 -6.716518e+52) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.378361e+111 1.641866e+112 -3.552972e+110) (-9.571814e+53 1.424959e+54 -6.094710e+52) (0.000000e+00 0.000000e+00 0.000000e+00))
1550          	((7.073817e+111 3.949983e+111 -1.900117e+111) (1.319280e+53 6.610992e+52 -1.698839e+53) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.861860e+112 1.136250e+113 -4.108117e+111) (-2.743097e+54 3.609291e+54 -1.658004e+53) (0.000000e+00 0.000000e+00 0.000000e+00))
1560          	((5.030083e+112 2.699609e+112 -9.416969e+111) (3.653557e+53 1.683276e+53 -3.682871e+53) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.672566e+113 7.955447e+113 -2.611802e+112) (-6.899305e+54 9.724255e+54 -4.096002e+53) (0.000000e+00 0.000000e+00 0.000000e+00))
1570          	((3.737623e+113 2.283527e+113 -7.826797e+112) (9.991360e+53 5.585905e+53 -8.542563e+53) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.925778e+114 5.915446e+114 -3.262610e+113) (-2.067396e+55 2.597585e+55 -1.676083e+54) (0.000000e+00 0.000000e+00 0.000000e+00))
1580          	((2.515743e+114 1.236742e+114 -4.470676e+113) (2.794359e+54 1.368672e+54 -2.223729e+54) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.090094e+115 3.976162e+115 -9.630265e+113) (-4.763842e+55 6.902594e+55 -3.980247e+54) (0.000000e+00 0.000000e+00 0.000000e+00))
1590          	((1.746746e+115 1.133954e+115 -3.929876e+114) (6.882745e+54 3.770066e+54 -6.807575e+54) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.962868e+116 2.798544e+116 -1.460665e+115) (-1.466939e+56 1.828308e+56 -1.399789e+55) (0.000000e+00 0.000000e+00 0.000000e+00))
1600          	((1.238154e+116 6.151920e+115 -2.312757e+115) (1.725292e+55 8.449356e+54 -1.514920e+55) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.082402e+117 1.929212e+117 -1.018103e+116) (-3.755973e+56 4.723152e+56 -4.234879e+55) (0.000000e+00 0.000000e+00 0.000000e+00))
1610          	((9.872316e+116 5.827517e+116 -2.057684e+116) (5.102444e+55 2.561131e+55 -4.402874e+55) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.960129e+117 1.544931e+118 -7.198921e+116) (-1.001762e+57 1.280251e+57 -8.619815e+55) (0.000000e+00 0.000000e+00 0.000000e+00))
1620          	((8.196412e+117 3.907921e+117 -2.207767e+117) (1.508945e+56 7.231524e+55 -1.740924e+56) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.086478e+118 1.330878e+119 -5.288459e+117) (-2.845968e+57 4.014677e+57 -2.294533e+56) (0.000000e+00 0.000000e+00 0.000000e+00))
1630          	((4.964608e+118 2.609556e+118 -1.345802e+118) (3.613623e+56 1.615073e+56 -4.517724e+56) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.616038e+119 8.106894e+119 -2.467671e+118) (-7.332998e+57 1.018189e+58 -5.448616e+56) (0.000000e+00 0.000000e+00 0.000000e+00))
1640          	((3.545479e+119 1.926232e+119 -8.262209e+118) (9.869132e+56 4.674674e+56 -1.136989e+57) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.332419e+120 5.705035e+120 -1.165541e+119) (-1.919538e+58 2.749171e+58 -1.325763e+57) (0.000000e+00 0.000000e+00 0.000000e+00))
1650          	((2.320519e+120 1.153220e+120 -4.466391e+119) (2.473465e+57 1.112598e+57 -2.181148e+57) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.070958e+121 3.658615e+121 -2.109987e+120) (-4.907965e+58 6.616374e+58 -5.459321e+57) (0.000000e+00 0.000000e+00 0.000000e+00))
1660          	((1.756532e+121 8.635653e+120 -4.396804e+120) (6.671595e+57 3.162912e+57 -7.431860e+57) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.471567e+122 2.813111e+122 -6.230377e+120) (-1.245020e+59 1.850596e+59 -8.903840e+57) (0.000000e+00 0.000000e+00 0.000000e+00))
1670          	((1.375589e+122 6.250918e+121 -3.013861e+121) (1.919053e+58 8.443579e+57 -2.100038e+58) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.095607e+123 2.160887e+123 -1.276950e+122) (-3.245483e+59 5.077358e+59 -2.795063e+58) (0.000000e+00 0.000000e+00 0.000000e+00))
1680          	((8.763522e+122 4.835145e+122 -1.601164e+122) (5.073274e+58 2.427085e+58 -3.888071e+58) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.172796e+123 1.373417e+124 -2.603961e+122) (-8.646361e+59 1.250732e+60 -6.203396e+58) (0.000000e+00 0.000000e+00 0.000000e+00))
